[1.000000 -1.000000] -> [-0.734863], y = 1.000000, delta = -1.734863 
[-1.000000 1.000000] -> [0.309357], y = 1.000000, delta = -0.690643 
[-1.000000 -1.000000] -> [0.717414], y = -1.000000, delta = 1.717414 
[1.000000 1.000000] -> [-0.294360], y = -1.000000, delta = 0.705640 
[1.000000 -1.000000] -> [-0.734605], y = 1.000000, delta = -1.734605 
[-1.000000 1.000000] -> [0.308617], y = 1.000000, delta = -0.691383 
[-1.000000 -1.000000] -> [0.716101], y = -1.000000, delta = 1.716101 
[1.000000 1.000000] -> [-0.292691], y = -1.000000, delta = 0.707309 
[1.000000 -1.000000] -> [-0.734350], y = 1.000000, delta = -1.734350 
[-1.000000 1.000000] -> [0.307857], y = 1.000000, delta = -0.692143 
[-1.000000 -1.000000] -> [0.714694], y = -1.000000, delta = 1.714694 
[1.000000 1.000000] -> [-0.290920], y = -1.000000, delta = 0.709080 
[1.000000 -1.000000] -> [-0.734097], y = 1.000000, delta = -1.734097 
[-1.000000 1.000000] -> [0.307075], y = 1.000000, delta = -0.692925 
[-1.000000 -1.000000] -> [0.713178], y = -1.000000, delta = 1.713178 
[1.000000 1.000000] -> [-0.289033], y = -1.000000, delta = 0.710967 
[1.000000 -1.000000] -> [-0.733847], y = 1.000000, delta = -1.733847 
[-1.000000 1.000000] -> [0.306266], y = 1.000000, delta = -0.693734 
[-1.000000 -1.000000] -> [0.711538], y = -1.000000, delta = 1.711538 
[1.000000 1.000000] -> [-0.287013], y = -1.000000, delta = 0.712987 
[1.000000 -1.000000] -> [-0.733595], y = 1.000000, delta = -1.733595 
[-1.000000 1.000000] -> [0.305426], y = 1.000000, delta = -0.694574 
[-1.000000 -1.000000] -> [0.709754], y = -1.000000, delta = 1.709754 
[1.000000 1.000000] -> [-0.284842], y = -1.000000, delta = 0.715158 
[1.000000 -1.000000] -> [-0.733343], y = 1.000000, delta = -1.733343 
[-1.000000 1.000000] -> [0.304551], y = 1.000000, delta = -0.695449 
[-1.000000 -1.000000] -> [0.707804], y = -1.000000, delta = 1.707804 
[1.000000 1.000000] -> [-0.282498], y = -1.000000, delta = 0.717502 
[1.000000 -1.000000] -> [-0.733086], y = 1.000000, delta = -1.733086 
[-1.000000 1.000000] -> [0.303635], y = 1.000000, delta = -0.696365 
[-1.000000 -1.000000] -> [0.705662], y = -1.000000, delta = 1.705662 
[1.000000 1.000000] -> [-0.279954], y = -1.000000, delta = 0.720046 
[1.000000 -1.000000] -> [-0.732823], y = 1.000000, delta = -1.732823 
[-1.000000 1.000000] -> [0.302673], y = 1.000000, delta = -0.697327 
[-1.000000 -1.000000] -> [0.703297], y = -1.000000, delta = 1.703297 
[1.000000 1.000000] -> [-0.277182], y = -1.000000, delta = 0.722818 
[1.000000 -1.000000] -> [-0.732553], y = 1.000000, delta = -1.732553 
[-1.000000 1.000000] -> [0.301658], y = 1.000000, delta = -0.698342 
[-1.000000 -1.000000] -> [0.700673], y = -1.000000, delta = 1.700673 
[1.000000 1.000000] -> [-0.274144], y = -1.000000, delta = 0.725856 
[1.000000 -1.000000] -> [-0.732271], y = 1.000000, delta = -1.732271 
[-1.000000 1.000000] -> [0.300583], y = 1.000000, delta = -0.699417 
[-1.000000 -1.000000] -> [0.697744], y = -1.000000, delta = 1.697744 
[1.000000 1.000000] -> [-0.270800], y = -1.000000, delta = 0.729200 
[1.000000 -1.000000] -> [-0.731973], y = 1.000000, delta = -1.731973 
[-1.000000 1.000000] -> [0.299438], y = 1.000000, delta = -0.700562 
[-1.000000 -1.000000] -> [0.694458], y = -1.000000, delta = 1.694458 
[1.000000 1.000000] -> [-0.267097], y = -1.000000, delta = 0.732903 
[1.000000 -1.000000] -> [-0.731657], y = 1.000000, delta = -1.731657 
[-1.000000 1.000000] -> [0.298214], y = 1.000000, delta = -0.701786 
[-1.000000 -1.000000] -> [0.690749], y = -1.000000, delta = 1.690749 
[1.000000 1.000000] -> [-0.262975], y = -1.000000, delta = 0.737025 
[1.000000 -1.000000] -> [-0.731315], y = 1.000000, delta = -1.731315 
[-1.000000 1.000000] -> [0.296898], y = 1.000000, delta = -0.703102 
[-1.000000 -1.000000] -> [0.686537], y = -1.000000, delta = 1.686537 
[1.000000 1.000000] -> [-0.258359], y = -1.000000, delta = 0.741641 
[1.000000 -1.000000] -> [-0.730942], y = 1.000000, delta = -1.730942 
[-1.000000 1.000000] -> [0.295478], y = 1.000000, delta = -0.704522 
[-1.000000 -1.000000] -> [0.681726], y = -1.000000, delta = 1.681726 
[1.000000 1.000000] -> [-0.253159], y = -1.000000, delta = 0.746841 
[1.000000 -1.000000] -> [-0.730527], y = 1.000000, delta = -1.730527 
[-1.000000 1.000000] -> [0.293936], y = 1.000000, delta = -0.706064 
[-1.000000 -1.000000] -> [0.676192], y = -1.000000, delta = 1.676192 
[1.000000 1.000000] -> [-0.247262], y = -1.000000, delta = 0.752738 
[1.000000 -1.000000] -> [-0.730058], y = 1.000000, delta = -1.730058 
[-1.000000 1.000000] -> [0.292254], y = 1.000000, delta = -0.707746 
[-1.000000 -1.000000] -> [0.669786], y = -1.000000, delta = 1.669786 
[1.000000 1.000000] -> [-0.240530], y = -1.000000, delta = 0.759470 
[1.000000 -1.000000] -> [-0.729521], y = 1.000000, delta = -1.729521 
